,a,b,c,d,e
0,0.6514263265799434,0.5908793398934609,0.47850447950185304,0.39448424992352815,0.3539700728847679
1,0.36207597637346045,0.9768787737265706,0.21351712759913888,0.404185641454023,0.6814372115158096
2,0.3178858952031808,0.7481560180735947,0.07442195602160184,0.36780707191132467,0.3454636068201843
3,0.5293335368771588,0.1057018845609965,0.4068346322248607,0.07716073609692575,0.6277286366453113
4,0.6545828152099297,0.5882700264861194,0.9345006171838846,0.6082050806176182,0.5000945009141818
5,0.6184728913741947,0.791511228520027,0.02096723646156695,0.5152105245598738,0.4416185656972803
6,0.5484491009371804,0.37384914662659563,0.06148383839152882,0.26813919733601066,0.8395944051283076
7,0.8847252127412419,0.2771417748319268,0.12736494236553808,0.1932442727392758,0.45064391841430895
8,0.9488261213194399,0.9073564364507699,0.03645672985900639,0.8535632164956426,0.886704275892928
9,0.21191656204805331,0.4687371679636372,0.7546012268110079,0.8998003372828892,0.43315974051620465
10,0.6599096309636431,0.7364221897369961,0.6739918617753832,0.9844683053367278,0.8259570769480727
11,0.08500618794929171,0.5047095074217564,0.9214952795601822,0.9246987084232325,0.4256373868276072
12,0.9434533849260183,0.8884544120210024,0.39017806560443846,0.07281619620147439,0.21132246320820458
13,0.7084320331085394,0.10194945235267983,0.39356824068946494,0.3724087165073111,0.4697432972258502
14,0.23832829307468006,0.7938647318943668,0.40944554200866534,0.20490995559442193,0.8961012310479645
15,0.6421885510736224,0.2694754961241934,0.6046947697864871,0.2781113511634189,0.10452125757203357
16,0.38485014659590255,0.9625004119759193,0.4105732961187979,0.6075193011423893,0.1730352228073042
17,0.8987996102966224,0.5992397465255532,0.951355283707236,0.6376183927536266,0.047687179616251685
18,0.9468941335412778,0.7855462349801761,0.5716268683183318,0.43974508584558514,0.6465802800777674
19,0.32324449807903155,0.2792305392944141,0.5162270069161874,0.21495670303561987,0.5167471288534121
20,0.8613480707624698,0.072528900212662,0.8842531111603988,0.9520980221218773,0.08771356363720972
21,0.3169412849080626,0.14937809180409456,0.5550599093915737,0.1783543413660882,0.541180138974177
22,0.9555305626135722,0.9376474965590923,0.9377378677195544,0.925092040205698,0.8908014125818741
23,0.4434106202349356,0.03102217764841797,0.6776314967826556,0.9844099298404086,0.0013790648480829226
24,0.8350665121607226,0.5444684790521402,0.7221687021446608,0.258099096285747,0.7297599028562501
25,0.1511291552486117,0.20404979783357402,0.7875705198121338,0.24527359541905036,0.42232266543400554
26,0.6125368866728913,0.9836985721898095,0.41018969794584204,0.07330671813214273,0.8168961664476361
27,0.43659025821282105,0.6182759309742106,0.2910322244543796,0.7006015261545688,0.7425447255068306
28,0.8115860288071375,0.8088327048411625,0.0669407814719587,0.015720171901271507,0.36572182128203357
29,0.34595826671332386,0.2832868968963227,0.7457722979753979,0.39914760146889483,0.649923202081772
30,0.3945755246513474,0.6545845865783755,0.7295014241606336,0.4860775132789671,0.7243229115747101
31,0.5101107464915282,0.6901427648458283,0.24135340257002447,0.9901382899547204,0.24580449364834278
32,0.6514450913163173,0.38217902238903767,0.3728943559506023,0.14145881115728987,0.7945007721129932
33,0.42664763444896925,0.6369792853889814,0.7862303409773075,0.0473115391003025,0.6571262869923865
34,0.8817946227653388,0.25099033558042594,0.1155998518160023,0.923029217385099,0.19921500521356839
35,0.783008498001105,0.7087335645801408,0.28037797181434476,0.13733789553250508,0.21050538199181468
36,0.5195891416865317,0.28819378627639225,0.6951717516577569,0.4001924154293419,0.4858507387022387
37,0.09655187411849453,0.774421447780533,0.83829152475941,0.43109463084242106,0.5390961349197596
38,0.263866712735389,0.7453859457666209,0.9802745925596185,0.7256349251361854,0.29426659811758415
39,0.7929715889123927,0.9016316397765551,0.7894894983533757,0.47795754274214164,0.9611315312631264
40,0.7235646058776544,0.9466921770960871,0.3735985497327383,0.025852122881717454,0.21666253587462114
41,0.9030811146214616,0.3202389362410091,0.9650007854275675,0.8813314027806336,0.6901967839826904
42,0.7152272272073552,0.7156372172603994,0.35042137588298217,0.715694378806518,0.21684448024838465
43,0.8072741057101416,0.9030531371854477,0.7916880565762914,0.7103122673613547,0.9279266912507341
44,0.08135951422563803,0.45535372776376304,0.07676501417518833,0.701812854439808,0.3936916754289179
45,0.9085211142741773,0.4640481610199928,0.6531855231057601,0.4687043656293749,0.16955170341258252
46,0.8659865317667413,0.5906869675449121,0.786803358364391,0.15979098691653737,0.07494804507379238
47,0.638032410102247,0.9042709407999441,0.1342495224969561,0.40063676114545177,0.9157402402846173
48,0.02002501731034445,0.7235626764603519,0.5815127829592304,0.1956214943171296,0.4600749151881345
49,0.4074934060032873,0.958564539037822,0.45086008115450815,0.8878143230820575,0.8006032732057886
